q,zgodnosc_cechy,n_trades,hit_rate,ci_low,ci_high,break_even,margin,abstynencja,klasyfikacja,n_valid_folds
0.0,0.3369536068651113,50,0.54,0.40185381756169114,0.6781461824383089,0.513714224298025,0.02628577570197499,0.9965393133997785,WARUNKOWY,5
0.05,0.3670555108608206,69,0.4782608695652174,0.36039646171154516,0.5961252774188897,0.5157071995440824,-0.03744632997886499,0.9952242524916943,WARUNKOWY,6
0.1,0.4033252882810405,69,0.5507246376811594,0.4333573404690766,0.6680919348932423,0.5184533935324686,0.03227124414869087,0.9952242524916943,GO,8
0.2,0.46299275945293644,105,0.5619047619047619,0.4670041380249693,0.6568053857845545,0.5189851340016762,0.04291962790308568,0.9927325581395349,WARUNKOWY,12
0.4,0.5935237329042639,787,0.5819567979669632,0.5474966860261306,0.6164169099077959,0.5207558821026641,0.0612009158642991,0.9455287929125138,GO,57
1.0,0.9988602842585144,4843,1.0,1.0,1.0,0.507986943662699,0.49201305633730097,0.6647978959025471,GO,86
