as_of,skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,cena_biezaca,planowane_wyjscie,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_biezacy_proc,przed_startem
2026-09-25,trend,5,SUIUSDT,long,2026-09-19,0.8574,1.1943,2026-09-26,2.0,0.003775815888446462,0.693784942241152,0.26196042080790527,0.13098021040395263,39.29321203638907,True
2026-09-25,trend,5,TRUMPUSDT,short,2026-09-19,2.099,2.122,2026-09-26,2.0,-0.002460608580069864,0.693784942241152,0.17071331816018537,0.08535665908009268,-1.0957598856598194,True
2026-09-25,trend,5,TUTUSDT,short,2026-09-19,0.02149,0.026,2026-09-26,2.0,-0.0006621599283271447,0.693784942241152,0.04593965876288534,0.02296982938144267,-20.9865053513262,True
2026-09-25,trend,5,XRPUSDT,short,2026-09-19,1.4104,1.5677,2026-09-26,2.0,-0.004061689051945947,0.693784942241152,0.2817938704305838,0.1408969352152919,-11.15286443562109,True
2026-09-25,trend,5,ZECUSDT,long,2026-09-19,1470.71,1555.2,2026-09-26,2.0,0.001964662433597117,0.693784942241152,0.13630532130165365,0.06815266065082683,5.744844326889731,True
2026-09-25,trend,6,1000PEPEUSDT,short,2026-09-20,0.0039947,0.0044875,2026-09-27,2.0,-0.003038509638251178,0.5699873952881126,0.17319121942646143,0.08659560971323071,-12.336345657996839,True
2026-09-25,trend,6,ACEUSDT,short,2026-09-20,0.15902,0.1944,2026-09-27,2.0,-0.0009482917856264336,0.5699873952881126,0.05405143648623241,0.027025718243116205,-22.248773739152305,True
2026-09-25,trend,6,ADAUSDT,long,2026-09-20,0.2278,0.2586,2026-09-27,2.0,0.0037241146460454864,0.5699873952881126,0.21226984068537783,0.10613492034268891,13.520632133450384,True
2026-09-25,trend,6,AKEUSDT,long,2026-09-20,0.058571,0.032779,2026-09-27,2.0,0.0004578212048887412,0.5699873952881126,0.026095231608219895,0.013047615804109947,-44.03544416178654,True
2026-09-25,trend,6,BNBUSDT,long,2026-09-20,773.12,777.53,2026-09-27,2.0,0.007050549510055693,0.5699873952881126,0.4018724350586523,0.20093621752932614,0.5704159768211925,True
2026-09-25,trend,6,BTCUSDT,long,2026-09-20,81143.9,84056.0,2026-09-27,2.0,0.006987775863919772,0.5699873952881126,0.39829441635327717,0.19914720817663858,3.5888095100186312,True
2026-09-25,trend,6,BTWUSDT,long,2026-09-20,0.7486,1.3154,2026-09-27,2.0,0.0009749804775471826,0.5699873952881126,0.05557265828538788,0.02778632914269394,75.71466737910764,True
2026-09-25,trend,6,CYSUSDT,short,2026-09-20,0.1525,0.1854,2026-09-27,2.0,-0.0009096970740518783,0.5699873952881126,0.051851586574004745,0.025925793287002372,-21.57377049180329,True
2026-09-25,trend,6,DOGEUSDT,short,2026-09-20,0.08725,0.09893,2026-09-27,2.0,-0.004706464406347885,0.5699873952881126,0.2682625387990444,0.1341312693995222,-13.386819484240696,True
2026-09-25,trend,6,ENAUSDT,long,2026-09-20,0.21684,0.26801,2026-09-27,2.0,0.0021923803232263062,0.5699873952881126,0.12496291499166727,0.062481457495833635,23.598044641210116,True
2026-09-25,trend,6,ETHUSDT,long,2026-09-20,2643.71,2690.56,2026-09-27,2.0,0.0048767809105144605,0.5699873952881126,0.2779703648574927,0.13898518242874636,1.7721308312939055,True
