skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,data_wyjscia,cena_wyjscia,powod_wyjscia,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_pozycji_proc,wynik_cenowy_proc_kapitalu,przed_startem
trend,4,ADAUSDT,short,2026-09-18,0.2246,2026-09-25,0.2586,rotacja,2.0,-0.003667005084667753,0.693784942241152,0.25441129108642274,0.12720564554321137,-15.138023152270708,-0.038512840146653494,True
trend,4,AKEUSDT,long,2026-09-18,0.046385,2026-09-25,0.032779,rotacja,2.0,0.00045592429679368297,0.693784942241152,0.031631341191734316,0.015815670595867158,-29.332758434838844,-0.009278344901471102,True
trend,4,BNBUSDT,long,2026-09-18,761.92,2026-09-25,777.53,rotacja,2.0,0.00695955468109606,0.693784942241152,0.4828434242448369,0.24142171212241845,2.0487715245695037,0.009892358584184541,True
trend,4,BTCUSDT,long,2026-09-18,80863.0,2026-09-25,84056.0,rotacja,2.0,0.006875737437512046,0.693784942241152,0.4770283100949621,0.23851415504748105,3.948653896095866,0.01883619695204499,True
trend,4,BTWUSDT,long,2026-09-18,0.63171,2026-09-25,1.3154,rotacja,2.0,0.0009873867341627638,0.693784942241152,0.06850340483307928,0.03425170241653964,108.2284592613699,0.0741401795924205,True
trend,4,CYSUSDT,short,2026-09-18,0.1513,2026-09-25,0.1854,rotacja,2.0,-0.0008948264390389236,0.693784942241152,0.062081710932447534,0.031040855466223767,-22.538003965631216,-0.013991978471886733,True
trend,4,DOGEUSDT,short,2026-09-18,0.08745,2026-09-25,0.09893,rotacja,2.0,-0.004630641021337249,0.693784942241152,0.32126690135279723,0.16063345067639861,-13.127501429388232,-0.042174317067239744,True
trend,4,ENAUSDT,long,2026-09-18,0.16821,2026-09-25,0.26801,rotacja,2.0,0.0023714557574991127,0.693784942241152,0.1645280295743969,0.08226401478719846,59.33059865644137,0.0976154649041366,True
trend,4,ETHUSDT,long,2026-09-18,2611.15,2026-09-25,2690.56,rotacja,2.0,0.004800214651711703,0.693784942241152,0.3330316644882936,0.1665158322441468,3.0411887482526767,0.01012812150853659,True
trend,4,HYPEUSDT,long,2026-09-18,92.6,2026-09-25,92.368,rotacja,2.0,0.0032567705704129243,0.693784942241152,0.2259498382086614,0.1129749191043307,-0.25053995680345276,-0.0005660946270454516,True
trend,4,LINKUSDT,long,2026-09-18,12.227,2026-09-25,13.924,rotacja,2.0,0.004245696237835403,0.693784942241152,0.2945600119140111,0.14728000595700555,13.879119980371302,0.0408823374677416,True
trend,4,PUMPUSDT,long,2026-09-18,0.004242,2026-09-25,0.004194,rotacja,2.0,0.002110169595046435,0.693784942241152,0.14640038906183261,0.07320019453091631,-1.1315417256011373,-0.0016565814886770394,True
trend,4,SOLUSDT,long,2026-09-18,112.73,2026-09-25,122.1,rotacja,2.0,0.004500376572038305,0.693784942241152,0.31222935000950286,0.15611467500475143,8.311895679943216,0.02595217785495465,True
trend,4,SUIUSDT,short,2026-09-18,0.8145,2026-09-25,1.213605,likwidacja,2.0,-0.003800238511197631,0.693784942241152,0.26365482559938497,0.13182741279969248,-50.0,-0.13182741279969248,True
trend,4,TRUMPUSDT,long,2026-09-18,2.084,2026-09-25,2.122,rotacja,2.0,0.0024406290917942594,0.693784942241152,0.16932717134825553,0.08466358567412777,1.8234165067178454,0.0030875395927225015,True
trend,4,TUTUSDT,short,2026-09-18,0.02252,2026-09-25,0.026,rotacja,2.0,-0.0006569287784129963,0.693784942241152,0.045576729458781114,0.022788364729390557,-15.452930728241565,-0.007042940431463513,True
trend,4,XRPUSDT,short,2026-09-18,1.3964,2026-09-25,1.5677,rotacja,2.0,-0.0040306971947791145,0.693784942241152,0.2796437020471401,0.13982185102357006,-12.267258665138936,-0.0343046162708931,True
trend,4,ZECUSDT,long,2026-09-18,1561.02,2026-09-25,1555.2,rotacja,2.0,0.0019577811129441332,0.693784942241152,0.13582790563647634,0.06791395281823817,-0.37283314755736097,-0.0005064114558457169,True
x1,4,1000PEPEUSDT,short,2026-09-18,0.0038207,2026-09-25,0.0044875,rotacja,1.0,-0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-17.452299316879127,-0.24931856166970182,True
x1,4,ACEUSDT,short,2026-09-18,0.15787,2026-09-25,0.1944,rotacja,1.0,-0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-23.1392918223855,-0.3305613117483643,True
x1,4,AKEUSDT,long,2026-09-18,0.046385,2026-09-25,0.032779,rotacja,1.0,0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-29.332758434838844,-0.41903940621198354,True
x1,4,BTWUSDT,long,2026-09-18,0.63171,2026-09-25,1.3154,rotacja,1.0,0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,108.2284592613699,1.5461208465909986,True
x1,4,CYSUSDT,short,2026-09-18,0.1513,2026-09-25,0.1854,rotacja,1.0,-0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-22.538003965631216,-0.3219714852233031,True
x1,4,DOGEUSDT,short,2026-09-18,0.08745,2026-09-25,0.09893,rotacja,1.0,-0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-13.127501429388232,-0.1875357347055462,True
x1,4,HYPEUSDT,long,2026-09-18,92.6,2026-09-25,92.368,rotacja,1.0,0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-0.25053995680345276,-0.003579142240049325,True
x1,4,SOLUSDT,long,2026-09-18,112.73,2026-09-25,122.1,rotacja,1.0,0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,8.311895679943216,0.11874136685633165,True
x1,4,TUTUSDT,short,2026-09-18,0.02252,2026-09-25,0.026,rotacja,1.0,-0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-15.452930728241565,-0.22075615326059378,True
x1,4,ZECUSDT,long,2026-09-18,1561.02,2026-09-25,1555.2,rotacja,1.0,0.014285714285714287,1.0,1.4285714285714286,1.4285714285714286,-0.37283314755736097,-0.005326187822248014,True
